beta,day,prop_infected
0.14,87,4.427321987553504e-06
0.14,88,4.159633356778538e-06
0.14,89,3.908129555433497e-06
0.14,90,3.6718320754600606e-06
0.14,91,3.449821561391409e-06
0.14,92,3.2412342353393716e-06
0.14,93,3.045258537919283e-06
0.14,94,2.8611319720890273e-06
0.14,95,2.6881381376609753e-06
0.14,96,2.525603944981318e-06
0.14,97,2.3728969969633673e-06
0.14,98,2.229423129312175e-06
0.14,99,2.0946240993897894e-06
0.16,0,0.0005
0.16,1,0.00055992
0.16,2,0.000601409053181952
0.16,3,0.0006284102705536007
0.16,4,0.0006440681395546579
0.16,5,0.0006508886190835534
0.16,6,0.0006508672033521484
0.16,7,0.0006455913610724143
0.16,8,0.0006363224751844549
0.16,9,0.0006240613832980351
0.16,10,0.0006096007989886404
0.16,11,0.0005935672380629544
0.16,12,0.0005764545490866346
0.16,13,0.0005586507276086775
0.16,14,0.0005404593576289183
0.16,15,0.0005221167551442402
0.16,16,0.0005038056736396052
0.16,17,0.0004856662594138482
0.16,18,0.00046780480704871025
0.16,19,0.00045030075526395884
0.16,20,0.00043321227534854625
0.16,21,0.0004165807339150995
0.16,22,0.00040043425537062723
0.16,23,0.0003847905644125608
0.16,24,0.000369659252792038
0.16,25,0.0003550435857324149
0.16,26,0.0003409419403077266
0.16,27,0.00032734894961911857
0.16,28,0.00031425641183384666
0.16,29,0.00030165401133266484
0.16,30,0.00028952988975638463
0.16,31,0.00027787109717836416
0.16,32,0.00026666394757848626
0.16,33,0.00025589429795326574
0.16,34,0.00024554776652404046
0.16,35,0.0002356099024071179
0.16,36,0.0002260663166313551
0.16,37,0.00021690278240602047
0.16,38,0.00020810531095577246
0.16,39,0.0001996602079708767
0.16,40,0.0001915541147059183
0.16,41,0.00018377403694847989
0.16,42,0.00017630736442994098
0.16,43,0.0001691418827312157
0.16,44,0.00016226577932089366
0.16,45,0.00015566764503108555
0.16,46,0.00014933647201066376
0.16,47,0.00014326164898322135
0.16,48,0.00013743295446729865
0.16,49,0.00013184054848072903
0.16,50,0.00012647496314251657
0.16,51,0.0001213270924990269
0.16,52,0.00011638818183208431
0.16,53,0.00011164981665133565
0.16,54,0.00010710391152916846
0.16,55,0.00010274269890132694
0.16,56,9.855871792836453e-05
0.16,57,9.454480349077734e-05
0.16,58,9.069407537293331e-05
0.16,59,8.69999276768343e-05
0.16,60,8.345601849558655e-05
0.16,61,8.00562598676273e-05
0.16,62,7.679480802578881e-05
0.16,63,7.366605394980408e-05
0.16,64,7.066461422656853e-05
0.16,65,6.778532221913026e-05
0.16,66,6.50232195427953e-05
0.16,67,6.237354784475053e-05
0.16,68,5.983174088210231e-05
0.16,69,5.7393416892104914e-05
0.16,70,5.5054371247531996e-05
0.16,71,5.281056938956195e-05
0.16,72,5.06581400301559e-05
0.16,73,4.8593368615663133e-05
0.16,74,4.661269104326266e-05
0.16,75,4.471268762181408e-05
0.16,76,4.2890077268727045e-05
0.16,77,4.1141711934548726e-05
0.16,78,3.946457124710087e-05
0.16,79,3.785575736716124e-05
0.16,80,3.631249004787038e-05
0.16,81,3.483210189024768e-05
0.16,82,3.341203378741444e-05
0.16,83,3.204983055034325e-05
0.16,84,3.0743136708178097e-05
0.16,85,2.948969247639656e-05
0.16,86,2.8287329886311585e-05
0.16,87,2.7133969069634843e-05
0.16,88,2.6027614692044556e-05
0.16,89,2.4966352529917938e-05
0.16,90,2.394834618460054e-05
0.16,91,2.297183392879203e-05
0.16,92,2.203512567982938e-05
0.16,93,2.1136600094844295e-05
0.16,94,2.0274701782961553e-05
0.16,95,1.9447938629888768e-05
0.16,96,1.8654879230426073e-05
0.16,97,1.7894150424596057e-05
0.16,98,1.716443493326041e-05
0.16,99,1.6464469089249974e-05
0.18,0,0.0005
0.18,1,0.00057991
0.18,2,0.000640175685905084
0.18,3,0.0006847953955205626
0.18,4,0.000716966694065626
0.18,5,0.000739246537071914
0.18,6,0.0007536794010880202
0.18,7,0.0007618997886019909
0.18,8,0.0007652142323124988
0.18,9,0.0007646668988542433
0.18,10,0.0007610920720630048
0.18,11,0.0007551561398496573
0.18,12,0.0007473911839395153
0.18,13,0.0007382218518830301
0.18,14,0.0007279868548635325
0.18,15,0.0007169561661234441
0.18,16,0.0007053447798669299
0.18,17,0.0006933237185261854
0.18,18,0.0006810288387019016
0.18,19,0.0006685678760271083
0.18,20,0.0006560260811544955
0.18,21,0.0006434707286280146
0.18,22,0.0006309547240480901
0.18,23,0.0006185194898585848
0.18,24,0.0006061972740186773
