day,alpha,prop_infected
5,0.6000000000000001,0.0039915256212253655
6,0.6000000000000001,0.005688992728812745
7,0.6000000000000001,0.008107742141340704
8,0.6000000000000001,0.011540321789775881
9,0.6000000000000001,0.01638504590630366
10,0.6000000000000001,0.02317085618617213
11,0.6000000000000001,0.032573832626444324
12,0.6000000000000001,0.04540712553647557
13,0.6000000000000001,0.06255178846866385
14,0.6000000000000001,0.08478087999915135
15,0.6000000000000001,0.11242896284225015
16,0.6000000000000001,0.1449086225406724
17,0.6000000000000001,0.18021661642864847
18,0.6000000000000001,0.21478238161173227
19,0.6000000000000001,0.24408583579043147
20,0.6000000000000001,0.2640818320035
21,0.6000000000000001,0.2726914928435531
22,0.6000000000000001,0.2703247099872941
23,0.6000000000000001,0.25919041565386003
24,0.6000000000000001,0.2421282694985855
25,0.6000000000000001,0.22174018316256341
26,0.6000000000000001,0.2000296303969781
27,0.6000000000000001,0.1783795113731439
28,0.6000000000000001,0.15766595223438923
29,0.6000000000000001,0.13839412271597568
30,0.6000000000000001,0.12081375798443272
31,0.6000000000000001,0.105006124179073
32,0.6000000000000001,0.09094588516824509
33,0.6000000000000001,0.07854376375469976
34,0.6000000000000001,0.06767532260464207
35,0.6000000000000001,0.058199982106664286
36,0.6000000000000001,0.04997327485555059
37,0.6000000000000001,0.04285446679727491
38,0.6000000000000001,0.03671103910275625
39,0.6000000000000001,0.031421071394250766
40,0.6000000000000001,0.026874247095144323
41,0.6000000000000001,0.022971977147420046
42,0.6000000000000001,0.019626981172737312
43,0.6000000000000001,0.016762555414488726
44,0.6000000000000001,0.014311680419356624
45,0.6000000000000001,0.012216068488582307
46,0.6000000000000001,0.010425214472131456
47,0.6000000000000001,0.008895488573675689
48,0.6000000000000001,0.007589293010803431
49,0.6000000000000001,0.00647429318503404
50,0.6000000000000001,0.005522726733704714
51,0.6000000000000001,0.004710789244761342
52,0.6000000000000001,0.004018092661372681
53,0.6000000000000001,0.0034271908873846346
54,0.6000000000000001,0.0029231664092662073
55,0.6000000000000001,0.0024932715856819977
56,0.6000000000000001,0.002126618422771564
57,0.6000000000000001,0.0018139110157791858
58,0.6000000000000001,0.0015472153045597119
59,0.6000000000000001,0.0013197613014622215
60,0.6000000000000001,0.0011257734664750195
61,0.6000000000000001,0.0009603254024163025
62,0.6000000000000001,0.000819215508547755
63,0.6000000000000001,0.0006988606571828181
64,0.6000000000000001,0.0005962053419862634
65,0.6000000000000001,0.0005086440888614666
66,0.6000000000000001,0.00043395522245669193
67,0.6000000000000001,0.00037024434622241726
68,0.6000000000000001,0.0003158961249225363
69,0.6000000000000001,0.0002695331589969913
70,0.6000000000000001,0.00022998091359112036
71,0.6000000000000001,0.00019623781462935135
72,0.6000000000000001,0.00016744975299455466
73,0.6000000000000001,0.00014288834838033782
74,0.6000000000000001,0.00012193241912987448
75,0.6000000000000001,0.00010405218550430827
76,0.6000000000000001,8.879580322023717e-05
77,0.6000000000000001,7.577788340523819e-05
78,0.6000000000000001,6.466970577379446e-05
79,0.6000000000000001,5.519087506242882e-05
80,0.6000000000000001,4.710220765181682e-05
81,0.6000000000000001,4.0199666765826185e-05
82,0.6000000000000001,3.430919146370063e-05
83,0.6000000000000001,2.9282287510182317e-05
84,0.6000000000000001,2.4992267700013995e-05
85,0.6000000000000001,2.1331045824716207e-05
86,0.6000000000000001,1.8206402625273238e-05
87,0.6000000000000001,1.5539654136827714e-05
88,0.6000000000000001,1.3263663109972234e-05
89,0.6000000000000001,1.1321142951542702e-05
90,0.6000000000000001,9.663211090884454e-06
91,0.6000000000000001,8.248155037091934e-06
92,0.6000000000000001,7.040379812084077e-06
93,0.6000000000000001,6.009510062763416e-06
94,0.6000000000000001,5.129624091496238e-06
95,0.6000000000000001,4.378600398754783e-06
96,0.6000000000000001,3.7375601910215546e-06
97,0.6000000000000001,3.190391744258936e-06
98,0.6000000000000001,2.723344590820814e-06
99,0.6000000000000001,2.3246832688019245e-06
100,0.6000000000000001,1.9843918827815645e-06
1,0.6200000000000001,0.001
2,0.6200000000000001,0.0013993999999999999
3,0.6200000000000001,0.0019792222131440797
4,0.6200000000000001,0.0028178625100732275
5,0.6200000000000001,0.004027193902944133
6,0.6200000000000001,0.00576596654237986
7,0.6200000000000001,0.008257629884597233
8,0.6200000000000001,0.011812991475817589
9,0.6200000000000001,0.016856838629945053
10,0.6200000000000001,0.02395457827473799
11,0.6200000000000001,0.03382866622369322
12,0.6200000000000001,0.0473433966154257
13,0.6200000000000001,0.06542008435771932
14,0.6200000000000001,0.08882829221825025
15,0.6200000000000001,0.11780303159170617
16,0.6200000000000001,0.15150609597731698
17,0.6200000000000001,0.18752657295097158
18,0.6200000000000001,0.22184914779331355
19,0.6200000000000001,0.2497275012212361
20,0.6200000000000001,0.2673325935157327
21,0.6200000000000001,0.27318551312145434
22,0.6200000000000001,0.268341285773468
23,0.6200000000000001,0.255394439658415
24,0.6200000000000001,0.23725932246440373
25,0.6200000000000001,0.21642215943058443
26,0.6200000000000001,0.19471033106283714
27,0.6200000000000001,0.17334322941966637
28,0.6200000000000001,0.1530709488129599
29,0.6200000000000001,0.1343109322322473
30,0.6200000000000001,0.11725610902420344
31,0.6200000000000001,0.10195341466868983
32,0.6200000000000001,0.08835856603255648
33,0.6200000000000001,0.07637342288261045
34,0.6200000000000001,0.06587103430097763
35,0.6200000000000001,0.05671211770164647
36,0.6200000000000001,0.048755632872210894
37,0.6200000000000001,0.04186531815329538
38,0.6200000000000001,0.03591349139675135
39,0.6200000000000001,0.030783021813101948
40,0.6200000000000001,0.026368100909060325
41,0.6200000000000001,0.02257424593789992
42,0.6200000000000001,0.01931783277132163
43,0.6200000000000001,0.016525359517693856
44,0.6200000000000001,0.014132575447441172
45,0.6200000000000001,0.01208356334290157
46,0.6200000000000001,0.010329831277569547
47,0.6200000000000001,0.008829447813648474
48,0.6200000000000001,0.007546239687325716
49,0.6200000000000001,0.006449061101127131
50,0.6200000000000001,0.0055111372543209915
51,0.6200000000000001,0.004709480648144222
52,0.6200000000000001,0.004024376248575019
53,0.6200000000000001,0.0034389302446280385
54,0.6200000000000001,0.0029386765326947306
55,0.6200000000000001,0.002511234928178062
56,0.6200000000000001,0.002146015275525272
57,0.6200000000000001,0.001833961974300704
58,0.6200000000000001,0.0015673338795840585
59,0.6200000000000001,0.001339515015076845
60,0.6200000000000001,0.0011448520216355612
61,0.6200000000000001,0.0009785147307168898
62,0.6200000000000001,0.0008363766887577389
63,0.6200000000000001,0.0007149128583084421
64,0.6200000000000001,0.0006111120823257747
65,0.6200000000000001,0.0005224022195374284
66,0.6200000000000001,0.00044658614291932634
67,0.6200000000000001,0.0003817870426909889
68,0.6200000000000001,0.00032640169288532283
69,0.6200000000000001,0.0002790605296855391
70,0.6200000000000001,0.00023859355349603432
71,0.6200000000000001,0.000204001208118833
72,0.6200000000000001,0.0001744295122120189
73,0.6200000000000001,0.00014914882292791677
74,0.6200000000000001,0.00012753570152247427
75,0.6200000000000001,0.00010905742779496549
76,0.6200000000000001,9.325877622073315e-05
77,0.6200000000000001,7.975072312047364e-05
78,0.6200000000000001,6.820080250905169e-05
79,0.6200000000000001,5.832486954796999e-05
80,0.6200000000000001,4.9880065793327055e-05
81,0.6200000000000001,4.265881055143528e-05
82,0.6200000000000001,3.648366837205025e-05
83,0.6200000000000001,3.120296466378839e-05
84,0.6200000000000001,2.6687040155942143e-05
85,0.6200000000000001,2.2825050924921512e-05
86,0.6200000000000001,1.952223435352201e-05
87,0.6200000000000001,1.6697573040424143e-05
88,0.6200000000000001,1.4281798619058274e-05
89,0.6200000000000001,1.2215685929682192e-05
90,0.6200000000000001,1.0448595230024116e-05
91,0.6200000000000001,8.937226310611851e-06
92,0.6200000000000001,7.64455365663244e-06
93,0.6200000000000001,6.538916301674169e-06
94,0.6200000000000001,5.593239863303925e-06
95,0.6200000000000001,4.784371532783041e-06
96,0.6200000000000001,4.092511593770798e-06
97,0.6200000000000001,3.5007274379349093e-06
98,0.6200000000000001,2.9945380889750874e-06
99,0.6200000000000001,2.5615589918476303e-06
100,0.6200000000000001,2.191198314618059e-06
1,0.6400000000000001,0.001
2,0.6400000000000001,0.0013993999999999999
3,0.6400000000000001,0.0019828107053797596
4,0.6400000000000001,0.002831858734521582
5,0.6400000000000001,0.004063709944159336
6,0.6400000000000001,0.005845577201881096
7,0.6400000000000001,0.008414102314839116
8,0.6400000000000001,0.012100060963353407
9,0.6400000000000001,0.017357335927510455
10,0.6400000000000001,0.02479149182283337
11,0.6400000000000001,0.03517586063683039
12,0.6400000000000001,0.04942983748868568
13,0.6400000000000001,0.06851490735838037
14,0.6400000000000001,0.09318641491128696
15,0.6400000000000001,0.12355009328038287
16,0.6400000000000001,0.15846548719764908
17,0.6400000000000001,0.1950587145619229
18,0.6400000000000001,0.2288573434084229
19,0.6400000000000001,0.2549640382595875
20,0.6400000000000001,0.26990400929238784
21,0.6400000000000001,0.27289918328346807
22,0.6400000000000001,0.2656452263987517
23,0.6400000000000001,0.25104700081942144
24,0.6400000000000001,0.23201848667466884
25,0.6400000000000001,0.21088816930852256
26,0.6400000000000001,0.1892940578374342
27,0.6400000000000001,0.16829375738604468
28,0.6400000000000001,0.14851821577740706
29,0.6400000000000001,0.13030449556605514
30,0.6400000000000001,0.11379487870640888
31,0.6400000000000001,0.09900664922595127
32,0.6400000000000001,0.08587996273135352
33,0.6400000000000001,0.07431020031873248
34,0.6400000000000001,0.0641695485141281
35,0.6400000000000001,0.05532115061510648
36,0.6400000000000001,0.04762815615607305
37,0.6400000000000001,0.040959283605548985
38,0.6400000000000001,0.03519201891532128
39,0.6400000000000001,0.030214230864128815
40,0.6400000000000001,0.025924745817522514
41,0.6400000000000001,0.022233257519647498
42,0.6400000000000001,0.019059830183306974
43,0.6400000000000001,0.016334170646322994
44,0.6400000000000001,0.013994787462856081
45,0.6400000000000001,0.011988114319359814
46,0.6400000000000001,0.010267647037356163
47,0.6400000000000001,0.008793124049772243
48,0.6400000000000001,0.0075297670496481325
49,0.6400000000000001,0.006447589679770797
50,0.6400000000000001,0.005520776353666049
51,0.6400000000000001,0.004727129642156897
52,0.6400000000000001,0.004047582464211059
53,0.6400000000000001,0.003465770117841271
54,0.6400000000000001,0.002967656646436513
55,0.6400000000000001,0.0025412099270431076
56,0.6400000000000001,0.0021761200293135647
57,0.6400000000000001,0.001863555716825161
58,0.6400000000000001,0.001595954371512889
59,0.6400000000000001,0.0013668410673700927
60,0.6400000000000001,0.0011706729691624215
61,0.6400000000000001,0.0010027056656346138
62,0.6400000000000001,0.000858878452845904
63,0.6400000000000001,0.0007357159557509307
64,0.6400000000000001,0.0006302438125728
65,0.6400000000000001,0.0005399164469118337
66,0.6400000000000001,0.00046255521839244987
67,0.6400000000000001,0.00039629547631545947
68,0.6400000000000001,0.00033954124502434435
69,0.6400000000000001,0.00029092644743083316
70,0.6400000000000001,0.00024928172726722996
