recovery,day,prop_infected
8,42,0.22464489291432382
8,43,0.2271270941671583
8,44,0.22755522257831795
8,45,0.22601772895550007
8,46,0.2226670750724091
8,47,0.21770347552149072
8,48,0.21135760231665401
8,49,0.2038742304587737
8,50,0.1954981963069639
8,51,0.1864633901668285
8,52,0.17698494659298705
8,53,0.1672543975458596
8,54,0.1574373231169931
8,55,0.14767294436126388
8,56,0.13807511101219216
8,57,0.12873420265712998
8,58,0.11971955303196169
8,59,0.11108210169146814
8,60,0.10285706294037805
8,61,0.09506647295256465
8,62,0.08772153125220716
8,63,0.08082469341852705
8,64,0.07437150033364417
8,65,0.06835214811170859
8,66,0.06275281443542781
8,67,0.05755676341748361
8,68,0.052745253912317734
8,69,0.04829827664998381
8,70,0.04419514453916026
8,71,0.040414958619277803
8,72,0.036936969860542096
8,73,0.03374085459706744
8,74,0.030806919009115277
8,75,0.02811624584932661
8,76,0.025650794589249737
8,77,0.02339346436838962
8,78,0.021328127559974455
8,79,0.0194396404149447
8,80,0.017713836090916986
8,81,0.016137504395592
8,82,0.01469836175303875
8,83,0.013385014215917946
8,84,0.012186915777862932
8,85,0.011094323770602757
8,86,0.010098252744639047
8,87,0.009190427916969198
8,88,0.00836323901290773
8,89,0.007609695121591625
8,90,0.006923381017852771
8,91,0.006298415269701167
8,92,0.005729410344723297
8,93,0.0052114348452755935
8,94,0.004739977937291022
8,95,0.004310915987371485
8,96,0.00392048138475932
8,97,0.0035652334964165764
8,98,0.003242031682857774
8,99,0.0029480102879954075
9,0,0.0005
9,1,0.0007442944444444445
9,2,0.0010178865205482286
9,3,0.0013280890601441652
9,4,0.0016833580550616874
9,5,0.0020935180346721206
9,6,0.0025700219619492885
9,7,0.003126250229625151
9,8,0.0037778532970655803
9,9,0.0045431421313881105
9,10,0.005443529721782326
9,11,0.006504025272677158
9,12,0.00775377990797832
9,13,0.009226678381694874
9,14,0.010961964803544054
9,15,0.013004881018386462
9,16,0.015407283149731077
9,17,0.01822818395216634
9,18,0.021534145041785992
9,19,0.025399413032782876
9,20,0.02990565694723214
9,21,0.03514112204281715
9,22,0.04119897060479029
9,23,0.04817453981200518
9,24,0.05616122185093465
9,25,0.06524467949330524
9,26,0.0754951755043899
9,27,0.08695794575664623
9,28,0.09964181280835527
9,29,0.1135066367892758
9,30,0.12845072292672577
9,31,0.1442998889771884
9,32,0.1608004120949049
9,33,0.1776183261224482
9,34,0.19434729768418993
9,35,0.2105263937518076
9,36,0.22566745090191703
9,37,0.23928971783995415
9,38,0.25095749003107476
9,39,0.2603152420468974
9,40,0.2671148090463246
9,41,0.27123059130829
9,42,0.2726611657069632
9,43,0.27151833577433543
9,44,0.26800675511317706
9,45,0.26239832267839336
9,46,0.25500550793784643
9,47,0.24615690829240822
9,48,0.23617711147978632
9,49,0.22537172880944567
9,50,0.21401752612592723
9,51,0.20235699126778023
9,52,0.19059640746592402
