day,lambda,value,group
45,2.0,0.029621769105757197,misinformed
46,2.0,0.025731039220598852,misinformed
47,2.0,0.022309181503546213,misinformed
48,2.0,0.01931272618948221,misinformed
49,2.0,0.016698089028236107,misinformed
50,2.0,0.014423228460284536,misinformed
51,2.0,0.01244866533381549,misinformed
52,2.0,0.010738044345093251,misinformed
53,2.0,0.009258375568911823,misinformed
54,2.0,0.007980060060705847,misinformed
55,2.0,0.006876775886404946,misinformed
56,2.0,0.005925279457029326,misinformed
57,2.0,0.005105160749802412,misinformed
58,2.0,0.004398578878044044,misinformed
59,2.0,0.003789995613311455,misinformed
60,2.0,0.0032659180935794363,misinformed
61,2.0,0.0028146574482973653,misinformed
62,2.0,0.0024261069475404557,misinformed
63,2.0,0.0020915411645491683,misinformed
64,2.0,0.0018034362469034476,misinformed
65,2.0,0.0015553105116213896,misinformed
66,2.0,0.0013415840592085576,misinformed
67,2.0,0.0011574558286692534,misinformed
68,2.0,0.0009987964086742608,misinformed
69,2.0,0.0008620549216700505,misinformed
70,2.0,0.0007441783670002975,misinformed
71,2.0,0.0006425419178150768,misinformed
72,2.0,0.000554888795367302,misinformed
73,2.0,0.00047927848036479723,misinformed
74,2.0,0.00041404215603563286,misinformed
75,2.0,0.0003577444063365776,misinformed
76,2.0,0.00030915031235251273,misinformed
77,2.0,0.00026719719895333297,misinformed
78,2.0,0.0002309703817372785,misinformed
79,2.0,0.0001996823513716984,misinformed
80,2.0,0.00017265490920519285,misinformed
81,2.0,0.0001493038352455297,misinformed
82,2.0,0.0001291257281531439,misinformed
83,2.0,0.00011168670769343115,misinformed
84,2.0,9.661271400335837e-05,misinformed
85,2.0,8.358117588935667e-05,misinformed
86,2.0,7.231385294804876e-05,misinformed
87,2.0,6.257068428011311e-05,misinformed
88,2.0,5.414450056743606e-05,misinformed
89,2.0,4.6856476849979696e-05,misinformed
90,2.0,4.0552220949782044e-05,misinformed
91,2.0,3.509840756211546e-05,misinformed
92,2.0,3.0379880929681068e-05,misinformed
93,2.0,2.629716004725347e-05,misinformed
94,2.0,2.276428978050966e-05,misinformed
95,2.0,1.9706989355070085e-05,misinformed
96,2.0,1.706105657827665e-05,misinformed
97,2.0,1.4770992066634587e-05,misinformed
98,2.0,1.2788812811261907e-05,misinformed
99,2.0,1.107302874609088e-05,misinformed
100,2.0,9.587759694794145e-06,misinformed
1,2.2,0.0005,misinformed
2,2.2,0.00072967,misinformed
3,2.2,0.001005276957623456,misinformed
4,2.2,0.0013430255864972467,misinformed
5,2.2,0.0017627642158342715,misinformed
6,2.2,0.002289037861277511,misinformed
7,2.2,0.0029523377470091917,misinformed
8,2.2,0.0037905657665868553,misinformed
9,2.2,0.004850711868763935,misinformed
10,2.2,0.006190703323102839,misinformed
11,2.2,0.007881316399334619,misinformed
12,2.2,0.010007928291737819,misinformed
13,2.2,0.01267171170830997,misinformed
14,2.2,0.015989617784070105,misinformed
15,2.2,0.020092145303961424,misinformed
16,2.2,0.025117475246143495,misinformed
17,2.2,0.031200144642791174,misinformed
18,2.2,0.038452248104699285,misinformed
19,2.2,0.0469355727975234,misinformed
20,2.2,0.056624664740401294,misinformed
21,2.2,0.06736419742014578,misinformed
22,2.2,0.0788293354833871,misinformed
23,2.2,0.09050393440164531,misinformed
24,2.2,0.101695139710334,misinformed
25,2.2,0.11159920667918129,misinformed
26,2.2,0.11941832303215479,misinformed
27,2.2,0.12450455395260632,misinformed
28,2.2,0.12648685946943727,misinformed
29,2.2,0.12533611447738635,misinformed
30,2.2,0.12134660576260285,misinformed
31,2.2,0.11504758917524466,misinformed
32,2.2,0.10708315524206453,misinformed
33,2.2,0.09810059736123626,misinformed
34,2.2,0.08867193523589204,misinformed
35,2.2,0.07925405913889493,misinformed
36,2.2,0.07018016729068356,misinformed
37,2.2,0.06167080445381773,misinformed
38,2.2,0.053854039010549214,misinformed
39,2.2,0.046787634276728995,misinformed
40,2.2,0.04047928555053063,misinformed
41,2.2,0.03490329262231249,misinformed
42,2.2,0.030013391410743485,misinformed
43,2.2,0.025752131112724473,misinformed
44,2.2,0.022057424818885243,misinformed
45,2.2,0.018866921483984275,misinformed
46,2.2,0.016120769005035538,misinformed
47,2.2,0.013763229446639862,misinformed
48,2.2,0.011743500741363919,misinformed
49,2.2,0.01001600759262876,misinformed
50,2.2,0.008540351079763121,misinformed
51,2.2,0.007281050445459497,misinformed
52,2.2,0.006207168965020283,misinformed
53,2.2,0.0052918856242842325,misinformed
54,2.2,0.004512052843706995,misinformed
55,2.2,0.0038477654389871057,misinformed
56,2.2,0.003281955652179691,misinformed
57,2.2,0.002800022094857074,misinformed
58,2.2,0.0023894958334621185,misinformed
59,2.2,0.0020397438994330863,misinformed
60,2.2,0.0017417087063060204,misinformed
61,2.2,0.0014876808345117027,misinformed
62,2.2,0.0012711021419787786,misinformed
63,2.2,0.0010863959932007315,misinformed
64,2.2,0.0009288214454660874,misinformed
65,2.2,0.0007943484026990248,misinformed
66,2.2,0.0006795509871512479,misinformed
67,2.2,0.0005815166490553912,misinformed
68,2.2,0.0004977688099847648,misinformed
69,2.2,0.00042620110212907307,misinformed
70,2.2,0.00036502151440676717,misinformed
71,2.2,0.0003127049829369154,misinformed
72,2.2,0.00026795316628374255,misinformed
